p_val	avg_log2FC	pct.1	pct.2	p_val_adj
MKI67	1.29694874009975e-264	2.54149170538084	0.676	0.033	2.29884164182681e-260
TUBA1B	1.16494006048028e-260	1.77519701913512	0.988	0.678	2.06485625720129e-256
H2AFZ	2.85799186192419e-259	1.95695276681659	0.961	0.441	5.06579057526063e-255
STMN1	2.51816961322196e-244	2.10594629690726	0.85	0.184	4.46345563943592e-240
TYMS	2.71931129672914e-240	2.31527751306768	0.605	0.02	4.81997927345239e-236
UBE2C	1.24201778649686e-221	2.41409275332111	0.537	0.005	2.20147652656568e-217
TUBB	2.2378532087981e-216	1.72830221031215	0.956	0.493	3.96659481259463e-212
HMGB2	4.43045515677824e-210	2.05179969007696	0.603	0.042	7.85298176538944e-206
TOP2A	1.00413448944432e-206	2.21605719753018	0.693	0.106	1.77982838254006e-202
HIST1H4C	1.0164600717426e-199	2.94264013319223	0.769	0.216	1.80167547716375e-195
HMGB1	7.03595546315549e-192	1.5399759280268	0.943	0.484	1.24712310584431e-187
FTH1	6.5453137164188e-190	-1.54811822029637	0.997	0.998	1.16015685623523e-185
CENPF	1.04276718066829e-182	1.86972163070873	0.462	0.006	1.84830482773454e-178
TUBB4B	1.42905487313485e-172	1.7565819621603	0.736	0.176	2.53299976263151e-168
HMGN2	3.67422294328266e-168	1.5680365390152	0.861	0.331	6.51256016696852e-164
CDK1	7.99137498377521e-166	1.6893214329806	0.423	0.005	1.41647121587416e-161
H2AFX	4.8733284359131e-156	1.5668961797667	0.47	0.029	8.63797465265597e-152
CDC20	3.31077607949262e-152	1.65202010903217	0.395	0.006	5.86835060090066e-148
UBE2S	4.26219882639621e-151	1.76294444781587	0.565	0.085	7.55474741978729e-147
TPX2	5.25258751883004e-146	1.55824254407321	0.398	0.011	9.31021137712625e-142
NUSAP1	1.14480575209831e-145	1.52148726118241	0.395	0.011	2.02916819559425e-141
PTMA	1.66405684430732e-141	0.848138864258457	0.996	0.893	2.94954075653473e-137
KPNA2	2.8828732219743e-137	1.6441140391136	0.524	0.076	5.10989278594944e-133
PLK1	2.59947331332805e-136	1.48847285284025	0.36	0.006	4.60756644787397e-132
CKS1B	1.90388140996919e-129	1.38896553812222	0.421	0.033	3.37462979917039e-125
RANBP1	5.48129725063225e-128	1.37659920860513	0.609	0.134	9.71559937674566e-124
SMC4	1.55797178200051e-126	1.34582836176897	0.392	0.025	2.76150498359591e-122
DUT	7.18604721775235e-121	1.41491566006205	0.558	0.112	1.2737268693466e-116
DTYMK	4.79837499462647e-120	1.29821680419654	0.425	0.044	8.50511967797541e-116
BIRC5	1.68450457774129e-118	1.26599165155945	0.331	0.009	2.98578436404644e-114
RAN	1.26474017471169e-113	1.18956439002181	0.855	0.402	2.24175195967648e-109
TYROBP	4.59339505604236e-113	-0.865051122692235	0.983	0.983	8.14179273683508e-109
PTTG1	4.87632996156518e-112	1.31789233610103	0.358	0.025	8.64329485687428e-108
HIST1H1B	5.71317687096706e-109	1.46310218271401	0.314	0.011	1.01266060037891e-104
CKS2	3.6696210685331e-107	1.2697094548126	0.4	0.047	6.50440334397492e-103
TK1	9.38921276810274e-107	1.3016300509444	0.335	0.021	1.66423796314621e-102
LMNB1	1.2660874402453e-105	1.13911019271133	0.351	0.027	2.2441399878348e-101
CCNA2	1.3804152113228e-103	1.15555394297993	0.287	0.006	2.44678596206967e-99
TMPO	2.61344793515833e-103	1.13681123569938	0.536	0.116	4.63233646506814e-99
CENPM	2.65073242434288e-103	1.18024189486793	0.32	0.018	4.69842322214776e-99
GTSE1	8.45702017293593e-103	1.10379328210414	0.269	0.001	1.49900682565289e-98
PHF19	1.44007507862768e-101	1.13376099382804	0.352	0.032	2.55253307686756e-97
CCNB1	2.04804844522319e-101	1.25272986569494	0.307	0.015	3.63016586915811e-97
DEK	7.03949985468223e-101	1.12916744211666	0.754	0.283	1.24775134924243e-96
CENPU	1.04091149511626e-99	1.16840467329904	0.293	0.011	1.84501562509357e-95
NCAPG	3.57197275451051e-99	1.09096295270829	0.263	0.002	6.33132170736987e-95
MYBL2	9.01324102847396e-98	1.15726967182065	0.298	0.015	1.59759697229701e-93
CDCA8	1.46665655586194e-95	1.05622123818134	0.261	0.004	2.59964874526529e-91
SRGN	3.44811818285985e-95	-1.36663701677739	0.774	0.878	6.11178947911908e-91
MCM7	3.89566259626803e-95	1.19157799163191	0.34	0.034	6.90506195188508e-91
HSPD1	6.12296235255334e-92	1.12504800075747	0.698	0.259	1.08529507699008e-87
ZWINT	2.066466675876e-90	1.06021904879438	0.299	0.021	3.66281218299022e-86
CCNB2	3.46799884141264e-89	0.994349176864569	0.256	0.008	6.14702794640391e-85
TACC3	7.90844156708521e-88	1.10096565243374	0.366	0.052	1.40177126776585e-83
TPT1	1.07592743347888e-85	-0.582961937529279	0.995	0.992	1.90708137584132e-81
ATAD2	2.7353667251976e-84	1.00193995242459	0.274	0.017	4.84843752041274e-80
PARP1	4.80061666696191e-84	1.0577680720361	0.659	0.239	8.50909304218998e-80
NUCKS1	1.5351230450913e-80	0.945217537100384	0.636	0.215	2.72100559742432e-76
PA2G4	4.94328075012676e-80	0.986381737385525	0.637	0.229	8.76196512959968e-76
HNRNPAB	4.89991156568009e-79	1.00022726229644	0.609	0.208	8.68509325016796e-75
FCER1G	1.20374933175401e-78	-0.755024321645998	0.94	0.932	2.13364569053398e-74
KIF22	2.88436174166806e-78	0.934023419591951	0.285	0.027	5.11253118710663e-74
FTL	1.16882222215356e-77	-0.440915795139716	1	0.999	2.07173738876718e-73
PCNA	7.15658730654168e-77	1.08260011918815	0.323	0.046	1.26850510008451e-72
RRM1	7.68881871725621e-77	0.914317192991981	0.274	0.025	1.36284311763366e-72
SMC2	2.1918959315597e-76	0.955893649008683	0.307	0.039	3.88513553868957e-72
DNAJC9	4.02684725495948e-76	0.97632595917186	0.305	0.038	7.13758675941567e-72
ALYREF	1.40149758568648e-75	0.914266116720394	0.57	0.179	2.48415447062928e-71
MALAT1	5.19239766321763e-74	-1.04133441427773	0.945	0.955	9.20352485805325e-70
CKAP2	3.15403812979333e-73	0.958481115254285	0.271	0.027	5.59053258505868e-69
H2AFV	1.36825234514956e-72	0.935701669758198	0.707	0.307	2.4252272817776e-68
HSP90AA1	3.56962104213449e-72	0.735213859814969	0.95	0.705	6.32715329718338e-68
HSPE1	3.68197608436237e-72	0.968262176586417	0.595	0.205	6.52630260953229e-68
LSM4	6.43212833170472e-72	0.896162856031691	0.621	0.229	1.14009474679466e-67
NASP	1.36852173838911e-70	0.952857595851591	0.51	0.157	2.42570478129469e-66
GSTP1	2.70764206447039e-70	0.737137712971437	0.921	0.612	4.79929555927376e-66
NCAPD2	1.12995114752138e-67	0.808521066452516	0.277	0.035	2.00283840898165e-63
USP1	1.15666116498929e-67	0.901167138340736	0.294	0.043	2.05018191494352e-63
RPA3	4.81895561068602e-67	0.917604129529213	0.35	0.07	8.54159881994096e-63
ANP32B	1.59332952801496e-66	0.832171310291269	0.637	0.244	2.82417658840652e-62
